claim_id,provider,case_id,chart,section,claim_text,claim_type,operator,value_expected,period,verifiability,verification_status,verification_reason,gt_source,gt_source_table,gt_source_stats,gt_values_count,gt_category_count,gt_series_count,gt_min,gt_max,gt_mean,gt_median,gt_std_dev,matched_values
chatgpt_00024_011,chatgpt,00024,Evolució de salut per període (00024),essential_key_details,The average across the full period is 51.8 thousand patients,value,,51.8,,high,supported,all_numeric_values_matched,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,13,13,1,38.6,85.1,51.79230769230769,44.4,16.11895499277703,51.8
claude_00024_001,claude,00024,Evolució de salut per període (00024),overview_and_main_message,"This chart shows how a health indicator evolved over time across a thirteen-year period, from 2013 to 2025",value,,2013|2025,2013|2025,high,contradicted,some_numeric_values_not_found,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,13,13,1,38.6,85.1,51.79230769230769,44.4,16.11895499277703,
claude_00024_002,claude,00024,Evolució de salut per període (00024),overview_and_main_message,The central message is that the indicator followed a perfectly symmetric bell-shaped trajectory: it rose steadily to a clear peak in the middle of the period and then declined at an identical rate back to its starting values,extreme,increase,,,medium,insufficient_data,no_numeric_values_in_claim,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,13,13,1,38.6,85.1,51.79230769230769,44.4,16.11895499277703,
claude_00024_003,claude,00024,Evolució de salut per període (00024),chart_structure,"The horizontal axis shows the time period, with each year from 2013 to 2025 as a discrete category",value,,2013|2025,2013|2025,high,contradicted,some_numeric_values_not_found,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,13,13,1,38.6,85.1,51.79230769230769,44.4,16.11895499277703,
claude_00024_004,claude,00024,Evolució de salut per període (00024),chart_structure,"The vertical axis measures the quantity in thousands of patients, ranging from 38.6 to 85.1 thousands",value,,38.6|85.1,,high,supported,all_numeric_values_matched,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,13,13,1,38.6,85.1,51.79230769230769,44.4,16.11895499277703,38.6|85.1
claude_00024_005,claude,00024,Evolució de salut per període (00024),relevant_patterns_trends_and_comparisons,The dominant pattern is a pronounced local peak,extreme,max,,,medium,insufficient_data,no_numeric_values_in_claim,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,13,13,1,38.6,85.1,51.79230769230769,44.4,16.11895499277703,
claude_00024_006,claude,00024,Evolució de salut per període (00024),relevant_patterns_trends_and_comparisons,"Values were nearly flat from 2013 to 2014 (approximately 38.6–38.7 thousand patients), then rose steeply through 2015–2019, reaching the maximum in 2019",extreme,increase,2013|2014|38.6|38.7|2015|2019.|2019,2013|2014|2015|2019|2019,high,contradicted,some_numeric_values_not_found,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,13,13,1,38.6,85.1,51.79230769230769,44.4,16.11895499277703,38.6|38.7
claude_00024_007,claude,00024,Evolució de salut per període (00024),relevant_patterns_trends_and_comparisons,"After this peak the series declined symmetrically, returning to its initial values by 2025",extreme,decrease,2025,2025,high,contradicted,some_numeric_values_not_found,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,13,13,1,38.6,85.1,51.79230769230769,44.4,16.11895499277703,
claude_00024_008,claude,00024,Evolució de salut per període (00024),essential_key_details,"The minimum value of 38.6 thousand patients appears in both 2013 and 2025, the start and end of the series",extreme,min,38.6|2013|2025.,2013|2025,high,supported,checked_against_groundtruth_min,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,13,13,1,38.6,85.1,51.79230769230769,44.4,16.11895499277703,38.6
claude_00024_009,claude,00024,Evolució de salut per període (00024),essential_key_details,"The maximum value is 85.1 thousand patients, recorded in 2019",extreme,max,85.1|2019,2019,high,supported,checked_against_groundtruth_max,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,13,13,1,38.6,85.1,51.79230769230769,44.4,16.11895499277703,85.1
claude_00024_010,claude,00024,Evolució de salut per període (00024),essential_key_details,"The average across the full period is approximately 51.8 thousand patients, considerably lower than the peak, reflecting the concentration of high values in the central years only",extreme,<,51.8,,high,supported,all_numeric_values_matched,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,13,13,1,38.6,85.1,51.79230769230769,44.4,16.11895499277703,51.8
gemini_00024_001,gemini,00024,Evolució de salut per període (00024),overview_and_main_message,"This chart shows the ""Evolució de salut per període (00024)""",value,,00024,,high,contradicted,some_numeric_values_not_found,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,13,13,1,38.6,85.1,51.79230769230769,44.4,16.11895499277703,
gemini_00024_002,gemini,00024,Evolució de salut per període (00024),overview_and_main_message,The main conclusion is a prominent local peak or central distribution tapering off on both sides,extreme,max,,,medium,insufficient_data,no_numeric_values_in_claim,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,13,13,1,38.6,85.1,51.79230769230769,44.4,16.11895499277703,
gemini_00024_003,gemini,00024,Evolució de salut per període (00024),chart_structure,The X-axis displays període ranging from 2013 to 2025,value,,2013|2025,2013|2025,high,contradicted,some_numeric_values_not_found,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,13,13,1,38.6,85.1,51.79230769230769,44.4,16.11895499277703,
gemini_00024_004,gemini,00024,Evolució de salut per període (00024),relevant_patterns_trends_and_comparisons,The data reveals a balanced and symmetrical shape or a noticeable peak,extreme,max,,,medium,insufficient_data,no_numeric_values_in_claim,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,13,13,1,38.6,85.1,51.79230769230769,44.4,16.11895499277703,
gemini_00024_005,gemini,00024,Evolució de salut per període (00024),relevant_patterns_trends_and_comparisons,"Values increase steadily towards a central maximum and decrease at a similar rate, creating a bell-like or peaked distribution",extreme,increase,,,medium,insufficient_data,no_numeric_values_in_claim,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,13,13,1,38.6,85.1,51.79230769230769,44.4,16.11895499277703,
gemini_00024_006,gemini,00024,Evolució de salut per període (00024),essential_key_details,The maximum recorded value in the dataset is 85.1 milers de pacients,extreme,max,85.1,,high,supported,checked_against_groundtruth_max,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,13,13,1,38.6,85.1,51.79230769230769,44.4,16.11895499277703,85.1
gemini_00024_007,gemini,00024,Evolució de salut per període (00024),essential_key_details,The minimum value is 38.6 milers de pacients,extreme,min,38.6,,high,supported,checked_against_groundtruth_min,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,13,13,1,38.6,85.1,51.79230769230769,44.4,16.11895499277703,38.6
gemini_00024_008,gemini,00024,Evolució de salut per període (00024),essential_key_details,The overall average value across all evaluated data points is approximately 51.8 milers de pacients,value,,51.8,,high,supported,all_numeric_values_matched,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,13,13,1,38.6,85.1,51.79230769230769,44.4,16.11895499277703,51.8
chatgpt_00028_001,chatgpt,00028,Indicadors de salut per categoria (00028),overview_and_main_message,This chart compares health indicators across categories and series,other,,,,low,insufficient_data,no_numeric_values_in_claim,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,36,12,3,7.4,54.3,32.74444444444444,32.7,11.60257261808883,
chatgpt_00028_002,chatgpt,00028,Indicadors de salut per categoria (00028),overview_and_main_message,The main message is how the categories differ while Derivats generally contributes the highest values,extreme,max,,,medium,insufficient_data,no_numeric_values_in_claim,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,36,12,3,7.4,54.3,32.74444444444444,32.7,11.60257261808883,
chatgpt_00028_003,chatgpt,00028,Indicadors de salut per categoria (00028),overview_and_main_message,"Across all series together, Atenció primària stands out as the strongest category and Cardiologia as the weakest",other,,,,low,insufficient_data,no_numeric_values_in_claim,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,36,12,3,7.4,54.3,32.74444444444444,32.7,11.60257261808883,
chatgpt_00028_004,chatgpt,00028,Indicadors de salut per categoria (00028),chart_structure,"The chart’s purpose is stated by the title, “Indicadors de salut per categoria (00028)",value,,00028,,high,supported,all_numeric_values_matched,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,36,12,3,7.4,54.3,32.74444444444444,32.7,11.60257261808883,28.0
chatgpt_00028_005,chatgpt,00028,Indicadors de salut per categoria (00028),chart_structure,"” The X-axis represents categoria, listing 12 categories from Atenció primària to Cardiologia",value,,12,,high,supported,all_numeric_values_matched,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,36,12,3,7.4,54.3,32.74444444444444,32.7,11.60257261808883,12.0
chatgpt_00028_006,chatgpt,00028,Indicadors de salut per categoria (00028),chart_structure,"The Y-axis represents milers de pacients, ranging from 7.4 to 54.3 milers de pacients",value,,7.4|54.3,,high,supported,all_numeric_values_matched,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,36,12,3,7.4,54.3,32.74444444444444,32.7,11.60257261808883,7.4|54.3
chatgpt_00028_007,chatgpt,00028,Indicadors de salut per categoria (00028),chart_structure,"The chart compares 3 series - Resolts, Amb seguiment, Derivats - within each category",value,,3,,high,supported,all_numeric_values_matched,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,36,12,3,7.4,54.3,32.74444444444444,32.7,11.60257261808883,3.0
chatgpt_00028_008,chatgpt,00028,Indicadors de salut per categoria (00028),relevant_patterns_trends_and_comparisons,"Considering all series together, Atenció primària has the highest overall level and Cardiologia the lowest",extreme,max,,,medium,insufficient_data,no_numeric_values_in_claim,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,36,12,3,7.4,54.3,32.74444444444444,32.7,11.60257261808883,
chatgpt_00028_009,chatgpt,00028,Indicadors de salut per categoria (00028),relevant_patterns_trends_and_comparisons,"On average across categories, Derivats has the highest values, while Resolts has the lowest",extreme,max,,,medium,insufficient_data,no_numeric_values_in_claim,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,36,12,3,7.4,54.3,32.74444444444444,32.7,11.60257261808883,
chatgpt_00028_010,chatgpt,00028,Indicadors de salut per categoria (00028),essential_key_details,"Considering individual plotted values, the minimum is 7.4 thousand patients for Resolts in Cardiologia",extreme,min,7.4,,high,supported,checked_against_groundtruth_min,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,36,12,3,7.4,54.3,32.74444444444444,32.7,11.60257261808883,7.4
chatgpt_00028_011,chatgpt,00028,Indicadors de salut per categoria (00028),essential_key_details,The maximum is 54.3 thousand patients for Derivats in Atenció primària,extreme,max,54.3,,high,supported,checked_against_groundtruth_max,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,36,12,3,7.4,54.3,32.74444444444444,32.7,11.60257261808883,54.3
chatgpt_00028_012,chatgpt,00028,Indicadors de salut per categoria (00028),essential_key_details,The average across all plotted values is 32.7 thousand patients,value,,32.7,,high,supported,all_numeric_values_matched,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,36,12,3,7.4,54.3,32.74444444444444,32.7,11.60257261808883,32.7
chatgpt_00028_013,chatgpt,00028,Indicadors de salut per categoria (00028),essential_key_details,Series averages are Resolts: 27.6 thousand patients; Amb seguiment: 32.2 thousand patients; Derivats: 38.4 thousand patients,value,,27.6|32.2|38.4,,high,supported,all_numeric_values_matched,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,36,12,3,7.4,54.3,32.74444444444444,32.7,11.60257261808883,27.6|32.2|38.4
claude_00028_001,claude,00028,Indicadors de salut per categoria (00028),overview_and_main_message,"The central message is that all three outcome types show a consistent and marked decline from primary care to cardiology, revealing that primary care manages and resolves the greatest volume of cases, while specialised services such as cardiology handle significantly fewer",other,,,,low,insufficient_data,no_numeric_values_in_claim,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,36,12,3,7.4,54.3,32.74444444444444,32.7,11.60257261808883,
claude_00028_002,claude,00028,Indicadors de salut per categoria (00028),chart_structure,"The vertical axis measures volume in thousands of patients, ranging from 7.4 to 54.3 thousands",value,,7.4|54.3,,high,supported,all_numeric_values_matched,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,36,12,3,7.4,54.3,32.74444444444444,32.7,11.60257261808883,7.4|54.3
claude_00028_003,claude,00028,Indicadors de salut per categoria (00028),relevant_patterns_trends_and_comparisons,All three series decrease steadily and consistently from left to right across all twelve categories,trend,decrease,,,medium,insufficient_data,no_numeric_values_in_claim,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,36,12,3,7.4,54.3,32.74444444444444,32.7,11.60257261808883,
claude_00028_004,claude,00028,Indicadors de salut per categoria (00028),relevant_patterns_trends_and_comparisons,Resolved cases fall from 46.4 thousand (primary care) to 7.4 thousand (cardiology),value,,46.4|7.4,,high,supported,all_numeric_values_matched,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,36,12,3,7.4,54.3,32.74444444444444,32.7,11.60257261808883,46.4|7.4
claude_00028_005,claude,00028,Indicadors de salut per categoria (00028),relevant_patterns_trends_and_comparisons,Cases under follow-up fall from 48.1 to 15.3 thousand,value,,48.1|15.3,,high,supported,all_numeric_values_matched,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,36,12,3,7.4,54.3,32.74444444444444,32.7,11.60257261808883,48.1|15.3
claude_00028_006,claude,00028,Indicadors de salut per categoria (00028),relevant_patterns_trends_and_comparisons,Referred cases fall from 54.3 to 20.7 thousand,value,,54.3|20.7,,high,supported,all_numeric_values_matched,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,36,12,3,7.4,54.3,32.74444444444444,32.7,11.60257261808883,54.3|20.7
claude_00028_007,claude,00028,Indicadors de salut per categoria (00028),relevant_patterns_trends_and_comparisons,"Across all categories, referred cases consistently register the highest values, followed by cases under follow-up, then resolved cases",extreme,max,,,medium,insufficient_data,no_numeric_values_in_claim,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,36,12,3,7.4,54.3,32.74444444444444,32.7,11.60257261808883,
claude_00028_008,claude,00028,Indicadors de salut per categoria (00028),essential_key_details,"The overall maximum is 54.3 thousand patients, recorded for referred cases in primary care",extreme,max,54.3,,high,supported,checked_against_groundtruth_max,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,36,12,3,7.4,54.3,32.74444444444444,32.7,11.60257261808883,54.3
claude_00028_009,claude,00028,Indicadors de salut per categoria (00028),essential_key_details,"The overall minimum is 7.4 thousand patients, recorded for resolved cases in cardiology",extreme,min,7.4,,high,supported,checked_against_groundtruth_min,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,36,12,3,7.4,54.3,32.74444444444444,32.7,11.60257261808883,7.4
claude_00028_010,claude,00028,Indicadors de salut per categoria (00028),essential_key_details,"Averages across categories are approximately 27.6 thousand for resolved cases, 32.2 thousand for cases under follow-up, and 38.4 thousand for referred cases, confirming a consistent hierarchical ordering between the three outcome types throughout",value,,27.6|32.2|38.4,,high,supported,all_numeric_values_matched,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,36,12,3,7.4,54.3,32.74444444444444,32.7,11.60257261808883,27.6|32.2|38.4
gemini_00028_001,gemini,00028,Indicadors de salut per categoria (00028),overview_and_main_message,"This chart shows the ""Indicadors de salut per categoria (00028)""",value,,00028,,high,supported,all_numeric_values_matched,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,36,12,3,7.4,54.3,32.74444444444444,32.7,11.60257261808883,28.0
gemini_00028_002,gemini,00028,Indicadors de salut per categoria (00028),chart_structure,The X-axis displays categoria ranging from Atenció primària to Cardiologia,other,,,,low,insufficient_data,no_numeric_values_in_claim,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,36,12,3,7.4,54.3,32.74444444444444,32.7,11.60257261808883,
gemini_00028_003,gemini,00028,Indicadors de salut per categoria (00028),chart_structure,"The data includes 3 series: Derivats, Resolts, Amb seguiment",value,,3,,high,supported,all_numeric_values_matched,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,36,12,3,7.4,54.3,32.74444444444444,32.7,11.60257261808883,3.0
gemini_00028_004,gemini,00028,Indicadors de salut per categoria (00028),relevant_patterns_trends_and_comparisons,Data points steadily move towards lower values,other,,,,low,insufficient_data,no_numeric_values_in_claim,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,36,12,3,7.4,54.3,32.74444444444444,32.7,11.60257261808883,
gemini_00028_005,gemini,00028,Indicadors de salut per categoria (00028),essential_key_details,The maximum recorded value in the dataset is 54.3 milers de pacients,extreme,max,54.3,,high,supported,checked_against_groundtruth_max,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,36,12,3,7.4,54.3,32.74444444444444,32.7,11.60257261808883,54.3
gemini_00028_006,gemini,00028,Indicadors de salut per categoria (00028),essential_key_details,The minimum value is 7.4 milers de pacients,extreme,min,7.4,,high,supported,checked_against_groundtruth_min,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,36,12,3,7.4,54.3,32.74444444444444,32.7,11.60257261808883,7.4
gemini_00028_007,gemini,00028,Indicadors de salut per categoria (00028),essential_key_details,The overall average value across all evaluated data points is approximately 32.7 milers de pacients,value,,32.7,,high,supported,all_numeric_values_matched,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,36,12,3,7.4,54.3,32.74444444444444,32.7,11.60257261808883,32.7
chatgpt_00041_001,chatgpt,00041,Indicadors de salut per categoria (00041),overview_and_main_message,This chart compares health indicators across categories,other,,,,low,insufficient_data,no_numeric_values_in_claim,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,12,12,1,26.2,81.3,53.724999999999994,51.5,18.745893994863692,
chatgpt_00041_002,chatgpt,00041,Indicadors de salut per categoria (00041),overview_and_main_message,"The main message is the difference in level between categories, with Cardiologia showing the highest value and Atenció primària the lowest",extreme,max,,,medium,insufficient_data,no_numeric_values_in_claim,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,12,12,1,26.2,81.3,53.724999999999994,51.5,18.745893994863692,
chatgpt_00041_003,chatgpt,00041,Indicadors de salut per categoria (00041),chart_structure,"The chart’s purpose is stated by the title, “Indicadors de salut per categoria (00041)",value,,00041,,high,contradicted,some_numeric_values_not_found,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,12,12,1,26.2,81.3,53.724999999999994,51.5,18.745893994863692,
chatgpt_00041_004,chatgpt,00041,Indicadors de salut per categoria (00041),chart_structure,"” The X-axis represents categoria, listing 12 categories from Atenció primària to Cardiologia",value,,12,,high,supported,all_numeric_values_matched,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,12,12,1,26.2,81.3,53.724999999999994,51.5,18.745893994863692,12.0
chatgpt_00041_005,chatgpt,00041,Indicadors de salut per categoria (00041),chart_structure,"The Y-axis represents milers de pacients, ranging from 26.2 to 81.3 milers de pacients",value,,26.2|81.3,,high,supported,all_numeric_values_matched,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,12,12,1,26.2,81.3,53.724999999999994,51.5,18.745893994863692,26.2|81.3
chatgpt_00041_006,chatgpt,00041,Indicadors de salut per categoria (00041),relevant_patterns_trends_and_comparisons,"Values increase steadily across the categories, from Atenció primària to Cardiologia",trend,increase,,,medium,insufficient_data,no_numeric_values_in_claim,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,12,12,1,26.2,81.3,53.724999999999994,51.5,18.745893994863692,
chatgpt_00041_007,chatgpt,00041,Indicadors de salut per categoria (00041),relevant_patterns_trends_and_comparisons,"Later categories occupy a clearly higher range than earlier categories, indicating a strong gradient across the list",other,,,,low,insufficient_data,no_numeric_values_in_claim,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,12,12,1,26.2,81.3,53.724999999999994,51.5,18.745893994863692,
chatgpt_00041_008,chatgpt,00041,Indicadors de salut per categoria (00041),relevant_patterns_trends_and_comparisons,"The average is 53.7 thousand patients, with 5 categories above that level and 7 below it",value,>,53.7|5|7,,high,contradicted,some_numeric_values_not_found,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,12,12,1,26.2,81.3,53.724999999999994,51.5,18.745893994863692,53.7
chatgpt_00041_009,chatgpt,00041,Indicadors de salut per categoria (00041),essential_key_details,The minimum value is 26.2 thousand patients for Atenció primària,extreme,min,26.2,,high,supported,checked_against_groundtruth_min,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,12,12,1,26.2,81.3,53.724999999999994,51.5,18.745893994863692,26.2
chatgpt_00041_010,chatgpt,00041,Indicadors de salut per categoria (00041),essential_key_details,The maximum value is 81.3 thousand patients for Cardiologia,extreme,max,81.3,,high,supported,checked_against_groundtruth_max,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,12,12,1,26.2,81.3,53.724999999999994,51.5,18.745893994863692,81.3
chatgpt_00041_011,chatgpt,00041,Indicadors de salut per categoria (00041),essential_key_details,The average across all categories is 53.7 thousand patients,value,,53.7,,high,supported,all_numeric_values_matched,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,12,12,1,26.2,81.3,53.724999999999994,51.5,18.745893994863692,53.7
claude_00041_001,claude,00041,Indicadors de salut per categoria (00041),overview_and_main_message,"This chart shows a single health indicator measured across twelve healthcare service categories, revealing a clear and consistent growth pattern from primary care through to cardiology",other,,,,low,insufficient_data,no_numeric_values_in_claim,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,12,12,1,26.2,81.3,53.724999999999994,51.5,18.745893994863692,
claude_00041_002,claude,00041,Indicadors de salut per categoria (00041),overview_and_main_message,"The main message is that the indicator rises progressively from the lowest-volume category to the highest, with cardiology recording values more than three times those of primary care",extreme,>,,,medium,insufficient_data,no_numeric_values_in_claim,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,12,12,1,26.2,81.3,53.724999999999994,51.5,18.745893994863692,
claude_00041_003,claude,00041,Indicadors de salut per categoria (00041),chart_structure,""" The horizontal axis lists twelve healthcare categories from primary care to cardiology",other,,,,low,insufficient_data,no_numeric_values_in_claim,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,12,12,1,26.2,81.3,53.724999999999994,51.5,18.745893994863692,
claude_00041_004,claude,00041,Indicadors de salut per categoria (00041),chart_structure,"The vertical axis measures the indicator in thousands of patients, ranging from 26.2 to 81.3 thousands",value,,26.2|81.3,,high,supported,all_numeric_values_matched,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,12,12,1,26.2,81.3,53.724999999999994,51.5,18.745893994863692,26.2|81.3
claude_00041_005,claude,00041,Indicadors de salut per categoria (00041),relevant_patterns_trends_and_comparisons,"The series shows a steady, monotonic increase from left to right",trend,increase,,,medium,insufficient_data,no_numeric_values_in_claim,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,12,12,1,26.2,81.3,53.724999999999994,51.5,18.745893994863692,
claude_00041_006,claude,00041,Indicadors de salut per categoria (00041),relevant_patterns_trends_and_comparisons,"The first four categories — primary care (26.2), emergencies (32.2), hospitalisation (33.9), and diagnosis (38.0) — show moderate values with gradual growth",ranking,,26.2|32.2|33.9|38.0,,medium,supported,all_numeric_values_matched,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,12,12,1,26.2,81.3,53.724999999999994,51.5,18.745893994863692,26.2|32.2|33.9|38.0
claude_00041_007,claude,00041,Indicadors de salut per categoria (00041),relevant_patterns_trends_and_comparisons,"From rehabilitation onwards the pace of growth accelerates, culminating at surgery (81.1) and cardiology (81.3), which are nearly identical",value,,81.1|81.3,,high,supported,all_numeric_values_matched,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,12,12,1,26.2,81.3,53.724999999999994,51.5,18.745893994863692,81.1|81.3
claude_00041_008,claude,00041,Indicadors de salut per categoria (00041),relevant_patterns_trends_and_comparisons,The difference between the lowest and highest categories exceeds 55 thousand patients,extreme,>,55,,high,supported,all_numeric_values_matched,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,12,12,1,26.2,81.3,53.724999999999994,51.5,18.745893994863692,55.0
claude_00041_009,claude,00041,Indicadors de salut per categoria (00041),essential_key_details,"The minimum value is 26.2 thousand patients, recorded for primary care",extreme,min,26.2,,high,supported,checked_against_groundtruth_min,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,12,12,1,26.2,81.3,53.724999999999994,51.5,18.745893994863692,26.2
