claim_id,provider,case_id,chart,section,claim_text,claim_type,operator,value_expected,period,evidence_span,verifiability,needs_human_review,verification_status,verification_reason,gt_source,gt_values_count,gt_category_count,gt_series_count,gt_min,gt_max,gt_mean,gt_median,gt_std_dev,matched_values
openai_00022_0011,openai,00022,health indicators by category (00022),essential_key_details,The overall maximum value in the chart is 230.8 thousand patients for Referred in Primary care,extreme,max,230.8,,The overall maximum value in the chart is 230.8 thousand patients for Referred in Primary care,high,False,supported,checked_against_groundtruth_max,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",36,12,3,54.9,230.8,135.358333,133.75,47.765961,230.8
openai_00022_0012,openai,00022,health indicators by category (00022),essential_key_details,The overall minimum is 54.9 thousand patients for Resolved in Cardiology,extreme,min,54.9,,The overall minimum is 54.9 thousand patients for Resolved in Cardiology,high,False,supported,checked_against_groundtruth_min,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",36,12,3,54.9,230.8,135.358333,133.75,47.765961,54.9
openai_00022_0013,openai,00022,health indicators by category (00022),essential_key_details,"Across all 36 values, the average is 135.4 thousand patients",value,,36|135.4,,"Across all 36 values, the average is 135.4 thousand patients",high,False,supported,all_numeric_values_matched,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",36,12,3,54.9,230.8,135.358333,133.75,47.765961,36.0|135.4
openai_00022_0014,openai,00022,health indicators by category (00022),essential_key_details,"By series, Referred has the highest average at 158.4 thousand patients, Under follow-up averages 134.3 thousand, and Resolved has the lowest average at 113.4 thousand",extreme,max,158.4|134.3|113.4,,"By series, Referred has the highest average at 158.4 thousand patients, Under follow-up averages 134.3 thousand, and Resolved has the lowest average at 113.4 thousand",high,False,insufficient_data,composite_extreme_not_fully_checkable,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",36,12,3,54.9,230.8,135.358333,133.75,47.765961,158.4
openai_00022_0015,openai,00022,health indicators by category (00022),essential_key_details,"Within categories, Primary care has the highest mean across its three statuses at 205.3 thousand, while Cardiology has the lowest mean at 68.8 thousand",extreme,max,205.3|68.8,,"Within categories, Primary care has the highest mean across its three statuses at 205.3 thousand, while Cardiology has the lowest mean at 68.8 thousand",high,False,insufficient_data,composite_extreme_not_fully_checkable,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",36,12,3,54.9,230.8,135.358333,133.75,47.765961,205.3
openai_00047_0016,openai,00047,health indicators by category (00047),overview_and_main_message,"This clustered column chart shows health indicators by category, measured in thousands of patients",other,,,,"This clustered column chart shows health indicators by category, measured in thousands of patients",low,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",3,3,1,97.5,350.5,227.666667,235.0,126.65932,
openai_00047_0017,openai,00047,health indicators by category (00047),overview_and_main_message,"Its purpose is to compare patient volumes across three healthcare service categories: Primary care, Emergency, and Hospitalization",other,,,,"Its purpose is to compare patient volumes across three healthcare service categories: Primary care, Emergency, and Hospitalization",low,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",3,3,1,97.5,350.5,227.666667,235.0,126.65932,
openai_00047_0018,openai,00047,health indicators by category (00047),overview_and_main_message,"The main message is a clear upward progression across categories, with the number of patients increasing substantially from Primary care to Emergency and reaching the highest level in Hospitalization",extreme,max,,,"The main message is a clear upward progression across categories, with the number of patients increasing substantially from Primary care to Emergency and reaching the highest level in Hospitalization",medium,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",3,3,1,97.5,350.5,227.666667,235.0,126.65932,
openai_00047_0019,openai,00047,health indicators by category (00047),chart_structure,"The Y-axis represents thousands of patients, ranging from 97.5 to 350.5",value,,97.5|350.5,,"The Y-axis represents thousands of patients, ranging from 97.5 to 350.5",high,False,supported,all_numeric_values_matched,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",3,3,1,97.5,350.5,227.666667,235.0,126.65932,97.5|350.5
openai_00047_0020,openai,00047,health indicators by category (00047),relevant_patterns_trends_and_comparisons,The chart shows a consistent increase in values across the three categories,trend,,,,The chart shows a consistent increase in values across the three categories,medium,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",3,3,1,97.5,350.5,227.666667,235.0,126.65932,
openai_00047_0021,openai,00047,health indicators by category (00047),relevant_patterns_trends_and_comparisons,"Primary care has the lowest patient count, Emergency is notably higher, and Hospitalization is the highest",extreme,max,,,"Primary care has the lowest patient count, Emergency is notably higher, and Hospitalization is the highest",medium,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",3,3,1,97.5,350.5,227.666667,235.0,126.65932,
openai_00047_0022,openai,00047,health indicators by category (00047),relevant_patterns_trends_and_comparisons,"The largest contrast is between Primary care and Hospitalization, indicating a difference of 253.0 thousand patients",value,,253.0,,"The largest contrast is between Primary care and Hospitalization, indicating a difference of 253.0 thousand patients",high,False,supported,all_numeric_values_matched,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",3,3,1,97.5,350.5,227.666667,235.0,126.65932,253.0
openai_00047_0023,openai,00047,health indicators by category (00047),relevant_patterns_trends_and_comparisons,"Overall variability is substantial relative to the average, showing that patient counts are not evenly distributed across categories but are concentrated more heavily in Hospitalization and, to a lesser extent, Emergency",other,,,,"Overall variability is substantial relative to the average, showing that patient counts are not evenly distributed across categories but are concentrated more heavily in Hospitalization and, to a lesser extent, Emergency",low,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",3,3,1,97.5,350.5,227.666667,235.0,126.65932,
openai_00047_0024,openai,00047,health indicators by category (00047),essential_key_details,The minimum value is Primary care at 97.5 thousand patients,extreme,min,97.5,,The minimum value is Primary care at 97.5 thousand patients,high,False,supported,checked_against_groundtruth_min,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",3,3,1,97.5,350.5,227.666667,235.0,126.65932,97.5
openai_00047_0025,openai,00047,health indicators by category (00047),essential_key_details,The maximum value is Hospitalization at 350.5 thousand patients,extreme,max,350.5,,The maximum value is Hospitalization at 350.5 thousand patients,high,False,supported,checked_against_groundtruth_max,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",3,3,1,97.5,350.5,227.666667,235.0,126.65932,350.5
openai_00047_0026,openai,00047,health indicators by category (00047),essential_key_details,Emergency records 235.0 thousand patients,value,,235.0,,Emergency records 235.0 thousand patients,high,False,supported,all_numeric_values_matched,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",3,3,1,97.5,350.5,227.666667,235.0,126.65932,235.0
openai_00047_0027,openai,00047,health indicators by category (00047),essential_key_details,"Across all three categories, the average value is about 227.7 thousand patients, and the median is 235.0 thousand patients",value,,227.7|235.0,,"Across all three categories, the average value is about 227.7 thousand patients, and the median is 235.0 thousand patients",high,False,supported,all_numeric_values_matched,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",3,3,1,97.5,350.5,227.666667,235.0,126.65932,227.7|235.0
openai_00047_0028,openai,00047,health indicators by category (00047),essential_key_details,The total across categories is 683.0 thousand patients,value,,683.0,,The total across categories is 683.0 thousand patients,high,False,contradicted,some_numeric_values_not_found,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",3,3,1,97.5,350.5,227.666667,235.0,126.65932,
openai_00047_0029,openai,00047,health indicators by category (00047),essential_key_details,"The overall range is 253.0 thousand patients, reinforcing the strong gap between the lowest and highest categories",extreme,max,253.0,,"The overall range is 253.0 thousand patients, reinforcing the strong gap between the lowest and highest categories",high,False,insufficient_data,composite_extreme_not_fully_checkable,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",3,3,1,97.5,350.5,227.666667,235.0,126.65932,253.0
openai_00053_0030,openai,00053,health indicators by category (00053),overview_and_main_message,"This chart shows health indicators by category, measured in thousands of patients",other,,,,"This chart shows health indicators by category, measured in thousands of patients",low,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",10,10,1,44.2,155.1,101.29,99.9,36.748921,
openai_00053_0031,openai,00053,health indicators by category (00053),overview_and_main_message,"Its main message is a clear ranking with steady growth across the ten categories: values rise consistently from Primary care to Geriatrics, indicating that Geriatrics, Pediatrics, Oncology, and Pharmacy have the largest patient totals, while Primary care and Emergency have the smallest",ranking,,,,"Its main message is a clear ranking with steady growth across the ten categories: values rise consistently from Primary care to Geriatrics, indicating that Geriatrics, Pediatrics, Oncology, and Pharmacy have the largest patient totals, while Primary care and Emergency have the smallest",medium,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",10,10,1,44.2,155.1,101.29,99.9,36.748921,
openai_00053_0032,openai,00053,health indicators by category (00053),chart_structure,The values shown range from 44.2 to 155.1 thousand patients,value,,44.2|155.1,,The values shown range from 44.2 to 155.1 thousand patients,high,False,supported,all_numeric_values_matched,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",10,10,1,44.2,155.1,101.29,99.9,36.748921,44.2|155.1
openai_00053_0033,openai,00053,health indicators by category (00053),relevant_patterns_trends_and_comparisons,The strongest pattern is a monotonic increase across categories,trend,,,,The strongest pattern is a monotonic increase across categories,medium,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",10,10,1,44.2,155.1,101.29,99.9,36.748921,
openai_00053_0034,openai,00053,health indicators by category (00053),relevant_patterns_trends_and_comparisons,"Each category has a higher value than the one before it, so the chart functions as an ordered ranking from lowest to highest",extreme,max,,,"Each category has a higher value than the one before it, so the chart functions as an ordered ranking from lowest to highest",medium,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",10,10,1,44.2,155.1,101.29,99.9,36.748921,
openai_00053_0035,openai,00053,health indicators by category (00053),relevant_patterns_trends_and_comparisons,A second important pattern is the broad spread between the lowest and highest categories,extreme,max,,,A second important pattern is the broad spread between the lowest and highest categories,medium,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",10,10,1,44.2,155.1,101.29,99.9,36.748921,
openai_00053_0036,openai,00053,health indicators by category (00053),relevant_patterns_trends_and_comparisons,"The increase from Primary care at 44.2 thousand to Geriatrics at 155.1 thousand is 110.9 thousand patients, showing substantial variation across categories",trend,,44.2|155.1|110.9,,"The increase from Primary care at 44.2 thousand to Geriatrics at 155.1 thousand is 110.9 thousand patients, showing substantial variation across categories",medium,True,supported,all_numeric_values_matched,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",10,10,1,44.2,155.1,101.29,99.9,36.748921,44.2|155.1|110.9
openai_00053_0037,openai,00053,health indicators by category (00053),relevant_patterns_trends_and_comparisons,A third pattern is that the upper end is concentrated in a few categories above the overall average,ranking,>,,,A third pattern is that the upper end is concentrated in a few categories above the overall average,medium,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",10,10,1,44.2,155.1,101.29,99.9,36.748921,
openai_00053_0038,openai,00053,health indicators by category (00053),relevant_patterns_trends_and_comparisons,"The mean value is 101.29 thousand patients, and the categories above this level are Mental health, Pharmacy, Oncology, Pediatrics, and Geriatrics, with Geriatrics the highest",extreme,max,101.29,,"The mean value is 101.29 thousand patients, and the categories above this level are Mental health, Pharmacy, Oncology, Pediatrics, and Geriatrics, with Geriatrics the highest",high,False,insufficient_data,composite_extreme_not_fully_checkable,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",10,10,1,44.2,155.1,101.29,99.9,36.748921,101.29
openai_00053_0039,openai,00053,health indicators by category (00053),essential_key_details,The maximum value is Geriatrics at 155.1 thousand patients,extreme,max,155.1,,The maximum value is Geriatrics at 155.1 thousand patients,high,False,supported,checked_against_groundtruth_max,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",10,10,1,44.2,155.1,101.29,99.9,36.748921,155.1
openai_00053_0040,openai,00053,health indicators by category (00053),essential_key_details,The minimum value is Primary care at 44.2 thousand patients,extreme,min,44.2,,The minimum value is Primary care at 44.2 thousand patients,high,False,supported,checked_against_groundtruth_min,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",10,10,1,44.2,155.1,101.29,99.9,36.748921,44.2
openai_00053_0041,openai,00053,health indicators by category (00053),essential_key_details,"The overall average across all categories is 101.29 thousand patients, and the median is 99.9 thousand",value,,101.29|99.9,,"The overall average across all categories is 101.29 thousand patients, and the median is 99.9 thousand",high,False,supported,all_numeric_values_matched,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",10,10,1,44.2,155.1,101.29,99.9,36.748921,101.29|99.9
openai_00053_0042,openai,00053,health indicators by category (00053),essential_key_details,"The total across all categories is 1,012.9 thousand patients",value,,1.012|.9,,"The total across all categories is 1,012.9 thousand patients",high,False,supported,all_numeric_values_matched,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",10,10,1,44.2,155.1,101.29,99.9,36.748921,1.012|0.9
openai_00056_0043,openai,00056,health indicators by category (00056),overview_and_main_message,"This chart shows health indicators by category, measured in thousands of patients, and its main message is that the values increase steadily across the listed health service categories",trend,,,,"This chart shows health indicators by category, measured in thousands of patients, and its main message is that the values increase steadily across the listed health service categories",medium,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",12,12,1,16.8,34.7,25.733333,25.7,5.872329,
openai_00056_0044,openai,00056,health indicators by category (00056),overview_and_main_message,The chart is designed to help identify which category has the highest and lowest value and to compare the relative scale of patient counts across categories,extreme,max,,,The chart is designed to help identify which category has the highest and lowest value and to compare the relative scale of patient counts across categories,medium,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",12,12,1,16.8,34.7,25.733333,25.7,5.872329,
openai_00056_0045,openai,00056,health indicators by category (00056),overview_and_main_message,"Cardiology has the highest value, while Primary care has the lowest, and the categories progress in a clear upward sequence with no reversals",extreme,max,,,"Cardiology has the highest value, while Primary care has the lowest, and the categories progress in a clear upward sequence with no reversals",medium,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",12,12,1,16.8,34.7,25.733333,25.7,5.872329,
openai_00056_0046,openai,00056,health indicators by category (00056),chart_structure,"It compares 12 health categories: Primary care, Emergency, Hospitalization, Diagnosis, Rehabilitation, Mental health, Pharmacy, Oncology, Pediatrics, Geriatrics, Surgery, and Cardiology",value,,12,,"It compares 12 health categories: Primary care, Emergency, Hospitalization, Diagnosis, Rehabilitation, Mental health, Pharmacy, Oncology, Pediatrics, Geriatrics, Surgery, and Cardiology",high,False,supported,all_numeric_values_matched,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",12,12,1,16.8,34.7,25.733333,25.7,5.872329,12.0
openai_00056_0047,openai,00056,health indicators by category (00056),chart_structure,The X-axis represents Category and lists those 12 named health categories,value,,12,,The X-axis represents Category and lists those 12 named health categories,high,False,supported,all_numeric_values_matched,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",12,12,1,16.8,34.7,25.733333,25.7,5.872329,12.0
openai_00056_0048,openai,00056,health indicators by category (00056),chart_structure,The Y-axis represents thousands of patients and ranges from 16.8 to 34.7,value,,16.8|34.7,,The Y-axis represents thousands of patients and ranges from 16.8 to 34.7,high,False,supported,all_numeric_values_matched,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",12,12,1,16.8,34.7,25.733333,25.7,5.872329,16.8|34.7
openai_00056_0049,openai,00056,health indicators by category (00056),relevant_patterns_trends_and_comparisons,"The most important pattern is a consistent step-by-step increase from one category to the next, starting at 16.8 thousand patients for Primary care and ending at 34.7 thousand for Cardiology",trend,,16.8|34.7,,"The most important pattern is a consistent step-by-step increase from one category to the next, starting at 16.8 thousand patients for Primary care and ending at 34.7 thousand for Cardiology",medium,True,supported,all_numeric_values_matched,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",12,12,1,16.8,34.7,25.733333,25.7,5.872329,16.8|34.7
openai_00056_0050,openai,00056,health indicators by category (00056),relevant_patterns_trends_and_comparisons,A second key pattern is the clear separation between the lowest and highest categories,extreme,max,,,A second key pattern is the clear separation between the lowest and highest categories,medium,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",12,12,1,16.8,34.7,25.733333,25.7,5.872329,
openai_00056_0051,openai,00056,health indicators by category (00056),relevant_patterns_trends_and_comparisons,"The total spread is 17.9 thousand patients, so the highest category is a little more than double the lowest in absolute difference terms, showing substantial variation across categories",extreme,max,17.9,,"The total spread is 17.9 thousand patients, so the highest category is a little more than double the lowest in absolute difference terms, showing substantial variation across categories",high,False,insufficient_data,composite_extreme_not_fully_checkable,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",12,12,1,16.8,34.7,25.733333,25.7,5.872329,17.9
openai_00056_0052,openai,00056,health indicators by category (00056),relevant_patterns_trends_and_comparisons,A third useful comparison is that the middle of the distribution lies around the mid-20s,ranking,,2,,A third useful comparison is that the middle of the distribution lies around the mid-20s,medium,True,contradicted,some_numeric_values_not_found,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",12,12,1,16.8,34.7,25.733333,25.7,5.872329,
openai_00056_0053,openai,00056,health indicators by category (00056),relevant_patterns_trends_and_comparisons,"Categories below the overall average of 25.73 thousand patients run from Primary care through Mental health, while Pharmacy and all categories after it are above average",value,>,25.73,,"Categories below the overall average of 25.73 thousand patients run from Primary care through Mental health, while Pharmacy and all categories after it are above average",high,False,supported,all_numeric_values_matched,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",12,12,1,16.8,34.7,25.733333,25.7,5.872329,25.73
openai_00056_0054,openai,00056,health indicators by category (00056),essential_key_details,The maximum value is 34.7 thousand patients in Cardiology,extreme,max,34.7,,The maximum value is 34.7 thousand patients in Cardiology,high,False,supported,checked_against_groundtruth_max,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",12,12,1,16.8,34.7,25.733333,25.7,5.872329,34.7
openai_00056_0055,openai,00056,health indicators by category (00056),essential_key_details,The minimum value is 16.8 thousand patients in Primary care,extreme,min,16.8,,The minimum value is 16.8 thousand patients in Primary care,high,False,supported,checked_against_groundtruth_min,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",12,12,1,16.8,34.7,25.733333,25.7,5.872329,16.8
openai_00056_0056,openai,00056,health indicators by category (00056),essential_key_details,"The overall average is 25.73 thousand patients, and the median is 25.7 thousand, indicating that the dataset is centered near 26 thousand patients",value,,25.73|25.7|26,,"The overall average is 25.73 thousand patients, and the median is 25.7 thousand, indicating that the dataset is centered near 26 thousand patients",high,False,contradicted,some_numeric_values_not_found,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",12,12,1,16.8,34.7,25.733333,25.7,5.872329,25.73|25.7
openai_00056_0057,openai,00056,health indicators by category (00056),essential_key_details,"The range is 17.9 thousand patients, and there are no reported outliers",value,,17.9,,"The range is 17.9 thousand patients, and there are no reported outliers",high,False,supported,all_numeric_values_matched,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",12,12,1,16.8,34.7,25.733333,25.7,5.872329,17.9
openai_00073_0058,openai,00073,health indicators by category (00073),overview_and_main_message,"This clustered column chart compares three health indicators across 12 healthcare categories, measured in thousands of patients",value,,12,,"This clustered column chart compares three health indicators across 12 healthcare categories, measured in thousands of patients",high,False,supported,all_numeric_values_matched,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",36,12,3,57.7,88.7,72.044444,71.6,10.687521,12.0
openai_00073_0059,openai,00073,health indicators by category (00073),overview_and_main_message,"Its purpose is to show health indicators by category and support ranking or comparison across services such as Primary care, Emergency, Hospitalization, and Cardiology",ranking,,,,"Its purpose is to show health indicators by category and support ranking or comparison across services such as Primary care, Emergency, Hospitalization, and Cardiology",medium,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",36,12,3,57.7,88.7,72.044444,71.6,10.687521,
openai_00073_0060,openai,00073,health indicators by category (00073),overview_and_main_message,"The main message is that the same hierarchy appears consistently across all categories: “Referred” is always the highest indicator, “Under follow-up” is consistently in the middle, and “Resolved” is always the lowest",extreme,max,,,"The main message is that the same hierarchy appears consistently across all categories: “Referred” is always the highest indicator, “Under follow-up” is consistently in the middle, and “Resolved” is always the lowest",medium,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",36,12,3,57.7,88.7,72.044444,71.6,10.687521,
openai_00073_0061,openai,00073,health indicators by category (00073),overview_and_main_message,"Differences between categories exist, but they are relatively small within each series",other,,,,"Differences between categories exist, but they are relatively small within each series",low,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",36,12,3,57.7,88.7,72.044444,71.6,10.687521,
openai_00073_0062,openai,00073,health indicators by category (00073),chart_structure,"The variables represented are: - healthcare category - indicator series: Resolved, Under follow-up, and Referred - value in thousands of patients The X axis shows 12 categories: Primary care, Emergency, Hospitalization, Diagnosis, Rehabilitation, Mental health, Pharmacy, Oncology, Pediatrics, Geriatrics, Surgery, and Cardiology",value,,12,,"The variables represented are: - healthcare category - indicator series: Resolved, Under follow-up, and Referred - value in thousands of patients The X axis shows 12 categories: Primary care, Emergency, Hospitalization, Diagnosis, Rehabilitation, Mental health, Pharmacy, Oncology, Pediatrics, Geriatrics, Surgery, and Cardiology",high,False,supported,all_numeric_values_matched,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",36,12,3,57.7,88.7,72.044444,71.6,10.687521,12.0
openai_00073_0063,openai,00073,health indicators by category (00073),chart_structure,"The Y axis shows the number of patients in thousands, ranging from 57.7 to 88.7",value,,57.7|88.7,,"The Y axis shows the number of patients in thousands, ranging from 57.7 to 88.7",high,False,supported,all_numeric_values_matched,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",36,12,3,57.7,88.7,72.044444,71.6,10.687521,57.7|88.7
openai_00073_0064,openai,00073,health indicators by category (00073),relevant_patterns_trends_and_comparisons,"Resolved values cluster around about 60 thousand patients, Under follow-up around 71 thousand, and Referred around 85 thousand",value,,60|71|85,,"Resolved values cluster around about 60 thousand patients, Under follow-up around 71 thousand, and Referred around 85 thousand",high,False,contradicted,some_numeric_values_not_found,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",36,12,3,57.7,88.7,72.044444,71.6,10.687521,
